s,Zeta Real,Zeta Imag
0.5+1003.6j,0.07960868800125107,1.1826130920701536
0.5+1003.7j,0.47588622306835815,1.4276471257713166
0.5+1003.8j,0.9595089744767136,1.4759961163830628
0.5+1003.9j,1.425981935898375,1.3014060812666386
0.5+1004j,1.7684938551469518,0.9328105776492466
0.5+1004.1j,1.906168285525168,0.44907970652701795
0.5+1004.2j,1.8060759149727599,-0.039971909822734436
0.5+1004.3j,1.492853186471374,-0.4212555194610426
0.5+1004.4j,1.0432795600208975,-0.6073405705147338
0.5+1004.5j,0.5672398417863105,-0.5590556462242171
0.5+1004.6j,0.1799382391213136,-0.29598487176650956
0.5+1004.7j,-0.02775516869636608,0.10782156797522975
0.5+1004.8j,-0.01359976348922297,0.5421174745434564
0.5+1004.9j,0.20314473552620047,0.8887381979110894
0.5+1005j,0.5439955387564551,1.0535336418450116
0.5+1005.1j,0.889204850147802,0.9943521366854791
0.5+1005.2j,1.1082924604377573,0.7376729744026461
0.5+1005.3j,1.096581536299677,0.3784163786179589
0.5+1005.4j,0.8087689313455189,0.06109960403251103
0.5+1005.5j,0.2801894477253208,-0.05472683626354211
0.5+1005.6j,-0.37132619870729955,0.1628569584669809
0.5+1005.7j,-0.9654638502369008,0.7780809939917137
0.5+1005.8j,-1.2978995340529464,1.7609739934676696
0.5+1005.9j,-1.1885006939544194,2.9823617522576944
0.5+1006j,-0.5274899615975669,4.232898998228497
0.5+1006.1j,0.6919418714693083,5.262422724947902
0.5+1006.2j,2.362702983491454,5.830783855068123
0.5+1006.3j,4.277329160523128,5.758694227993741
0.5+1006.4j,6.163087154048047,4.967468740630941
0.5+1006.5j,7.7312346527834634,3.499364913488714
0.5+1006.6j,8.730442794467345,1.5145026905381993
0.5+1006.7j,8.993908685786023,-0.734988862294551
0.5+1006.8j,8.471047345180367,-2.9487025467680867
0.5+1006.9j,7.237493165244578,-4.8313321437828884
0.5+1007j,5.481111949221974,-6.145446589884086
0.5+1007.1j,3.4663836256663116,-6.75312549085006
0.5+1007.2j,1.4841312165395806,-6.63775830281417
0.5+1007.3j,-0.20291515891082443,-5.901277861240219
0.5+1007.4j,-1.406938911953938,-4.737562120368161
0.5+1007.5j,-2.044083118390641,-3.3883774199037844
0.5+1007.6j,-2.1399182465415945,-2.0924130829352237
0.5+1007.7j,-1.81146538057439,-1.0393368416955293
0.5+1007.8j,-1.2316610212022185,-0.3389354089868346
0.5+1007.9j,-0.5860035619906258,-0.010950571704061735
0.5+1008j,-0.032080030917108794,0.004332053375432673
0.5+1008.1j,0.32922619685954607,-0.1803658769700556
0.5+1008.2j,0.46587334884041426,-0.4336548731429004
0.5+1008.3j,0.4096054081970079,-0.6390043891235777
0.5+1008.4j,0.2370271865300801,-0.7200776952862072
0.5+1008.5j,0.04272224358405942,-0.6531671004354711
0.5+1008.6j,-0.08859314318187923,-0.46527913695583395
0.5+1008.7j,-0.10425346979832088,-0.21964921565328918
0.5+1008.8j,0.004810236004349761,0.006813844033301857
0.5+1008.9j,0.2054452763194071,0.14789640819278618
0.5+1009j,0.43555778308179005,0.16765632353189858
0.5+1009.1j,0.6250989819856876,0.06993425202322412
0.5+1009.2j,0.7183929852051261,-0.10460500628263673
0.5+1009.3j,0.6910818925510681,-0.2926100536222958
0.5+1009.4j,0.5566801080494163,-0.42867791542948636
0.5+1009.5j,0.3610537763161251,-0.4658786915269048
0.5+1009.6j,0.1669702293957084,-0.38978611370898136
0.5+1009.7j,0.03388355010482065,-0.22190244409439608
0.5+1009.8j,-0.0006472702836123946,-0.011833158401320654
0.5+1009.9j,0.06765363396389365,0.17899615075964068
0.5+1010j,0.2087148448128802,0.29696370465852284
0.5+1010.1j,0.3674052073068435,0.31344330974893814
0.5+1010.2j,0.4803828960633328,0.2347446972719776
0.5+1010.3j,0.49584301223087507,0.10206012244235727
0.5+1010.4j,0.39084660598356985,-0.018747392631875227
0.5+1010.5j,0.1814667178655686,-0.055151921869582114
0.5+1010.6j,-0.07740457861757707,0.05062950345335599
0.5+1010.7j,-0.3033197418643296,0.3223869452661376
0.5+1010.8j,-0.4064946557592331,0.738296040090782
0.5+1010.9j,-0.3142191142004295,1.2308673809345962
0.5+1011j,0.006969031396267108,1.6995692093074821
0.5+1011.1j,0.5377567195743486,2.033703096500339
0.5+1011.2j,1.2056256366231233,2.139938034516307
0.5+1011.3j,1.8984756514585774,1.96717633465
0.5+1011.4j,2.489262438815661,1.5218326621246128
0.5+1011.5j,2.8654031196046614,0.8691202571979268
0.5+1011.6j,2.9553234776610338,0.11976673386781923
0.5+1011.7j,2.745346128113878,-0.5944989387811518
0.5+1011.8j,2.2827728696914678,-1.1505038447396947
0.5+1011.9j,1.6645922600053376,-1.460977308480599
0.5+1012j,1.0147205849047018,-1.4932054561197128
0.5+1012.1j,0.4552662037377724,-1.2747236425961208
0.5+1012.2j,0.07857000708122769,-0.884795137519384
0.5+1012.3j,-0.07339702052880717,-0.43363248191104636
0.5+1012.4j,-0.017240915199670727,-0.03416502324061609
0.5+1012.5j,0.17836250735312886,0.22688383033589138
0.5+1012.6j,0.41271260272071614,0.3112898684854949
0.5+1012.7j,0.5819189346039029,0.2388991916797725
0.5+1012.8j,0.6090922933788678,0.08139102511021426
0.5+1012.9j,0.4676066585553116,-0.05865890864879722
0.5+1013j,0.19066101317283732,-0.07806929987923585
